design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,F_Ax,F_Ay,F_Bx,F_By,F_Cx,F_Cy,N,F_f,tau_A
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,0.0,-3.226596015854214,0.194183886757787,3.225206925498325,-0.1592294215063942,3.1907802182420557,0.15616206740055638,5.276440588635837,2.4799270766588433,0.013959825676435118
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,14.999999999999998,-3.0214436471060573,0.5253667755635114,3.0201018888562547,-0.490771833351591,2.987516336581452,-0.1786242935624438,4.941654227672837,2.322577487006233,0.10053467209406743
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,29.999999999999996,-2.735477951311284,0.867505915666992,2.734274963774932,-0.8332459955935438,2.7065923676737977,-0.524121335150701,4.59615718608458,2.1601938774597524,0.1662069473200719
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,45.0,-2.3507879350490892,1.1898223975893727,2.3498056998387593,-1.15585016754831,2.330975941925857,-0.8493213124483665,4.270957208786914,2.0073498881298497,0.19680727317730295
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,59.99999999999999,-1.8150287735808261,1.398568340497983,1.8143342284028816,-1.3648168627829422,1.8110591514013372,-1.0602798391781452,4.059998682057135,1.9081993805668536,0.17873011985609136
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,75.0,-1.0543563718789921,1.2111286484074832,1.0539968488395197,-1.1775159414058929,1.0789843826341143,-0.8742310354237528,4.246047485811528,1.995642318331418,0.10486221177693364
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,90.0,-0.4765113205782503,0.7354763315615029,0.4765113205782503,-0.7019109566659993,0.5285728201120027,-0.3990531246872644,4.721225396548016,2.2189759363775674,0.037644394325681785
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,105.00000000000001,-0.8985535092738363,1.0652779531022003,0.8989130323133087,-1.03166524610061,0.9368763625791167,-0.7283803401184699,4.391898181116811,2.064192145124901,0.04714287545932603
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,119.99999999999999,4.391121088685955,-2.763846526221086,-4.39042654350801,2.797598003936127,-4.3686343066531235,3.102135027540924,8.222413548776204,-3.864534367924816,-0.19056068222330597
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,135.0,3.440141394928429,-1.2852554906361957,-3.4391591597180993,1.3192277206772585,-3.4225383824029736,1.625756575777202,6.7460350970124825,-3.1706364955958666,-0.11939871710628482
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,150.0,3.005463302032938,-0.5577169961355017,-3.004260314496586,0.5919769162089499,-2.988525049389106,0.9011015766517927,6.021380097887073,-2.830048646006924,-0.07936330810712683
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,165.0,2.761410173237371,-0.11378899184184882,-2.7600684149875683,0.14838393405376926,-2.744227635563129,0.4605314738429165,5.580809995078197,-2.6229806976867525,-0.04644505651944082
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,180.0,2.6000903650136937,0.194183886757787,-2.5987012746578046,-0.1592294215063942,-2.5829933542012116,0.15616206740055638,5.276440588635837,-2.4799270766588433,-0.013959825676435118
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,195.0,2.4789996260810003,0.42155468395267603,-2.477657867831198,-0.38624069566181085,-2.462838508961937,-0.06760525763705694,5.052673263598224,-2.374756433891165,0.019852974127945813
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,210.00000000000003,2.3778734892306423,0.5911538655559014,-2.3766705016942904,-0.555504855126564,-2.3637486821853555,-0.23384653775550568,4.886431983479775,-2.296623032235494,0.05467733834827919
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,225.0,2.2852136444727136,0.712170380595812,-2.2842314092623837,-0.676233680134089,-2.274344905521936,-0.35197955742013143,4.768298963815149,-2.24110051299312,0.08884875846676135
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,239.99999999999997,2.1937810809861618,0.7878105610824127,-2.193086535808217,-0.7516531082946678,-2.1874103920889016,-0.42540715408556373,4.694871367149717,-2.206589542560367,0.11966157509754013
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,255.00000000000003,2.0993792298084144,0.8195025505865137,-2.0990197067689422,-0.7832063270853183,-2.0986611517111173,-0.4557082552535574,4.664570265981723,-2.19234802501141,0.14380095003402676
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,270.0,2.0010046262979295,0.8097014761517337,-2.0010046262979295,-0.7733579205444516,-2.0068658954022314,-0.44543277470928544,4.674845746525995,-2.1971775008672174,0.1580793654775364
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,285.0,1.9013840008193779,0.7634228475873593,-1.9017435238588503,-0.727126624086164,-1.914360765272239,-0.39962855225440297,4.720649968980878,-2.218705485421012,0.16034320666391794
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,300.0,1.807230794353233,0.688096035247981,-1.8079253395311776,-0.6519385824602362,-1.8273165096682937,-0.3256926282511321,4.7945858929841485,-2.2534553697025497,0.15013295719808323
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,315.0,1.7289080007791633,0.5916654815357016,-1.7298902359894934,-0.5557287810739787,-1.755454267477074,-0.23147465836002112,4.8888038628752595,-2.297737815551372,0.12865426309456088
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,330.0,-3.4152128530827266,-0.3644664492628977,3.4140098655463746,0.4001154596922351,3.383513823846695,0.7217737770632935,5.842052298298574,2.74576458020033,-0.16103196927187613
