design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,sigma_max_rod,sigma_min_rod,sigma_m_rod,sigma_a_rod,tau_m_rod,tau_a_rod,R_rod,sigma_a_eq_rod,sigma_m_eq_rod,S_n_prime_rod,n_f_rod,n_y_rod,n_rod,b_B_rod,N_f_rod,t_f_rod,D_rod,failed_miner_rod,sigma_max_crank,sigma_min_crank,sigma_m_crank,sigma_a_crank,tau_m_crank,tau_a_crank,R_crank,sigma_a_eq_crank,sigma_m_eq_crank,S_n_prime_crank,n_f_crank,n_y_crank,n_crank,b_B_crank,N_f_crank,t_f_crank,D_crank,failed_miner_crank,sigma_max_pin,sigma_min_pin,sigma_m_pin,sigma_a_pin,tau_m_pin,tau_a_pin,R_pin,sigma_a_eq_pin,sigma_m_eq_pin,S_n_prime_pin,n_f_pin,n_y_pin,n_pin,b_B_pin,N_f_pin,t_f_pin,D_pin,failed_miner_pin
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.008,0.002,0.008,0.005,0.0029,0.0038,0.0026,0.0035631463049330078,0.03214999886921004,0.02194480338789809,475836.46065529814,90625.97807524697,283231.21936527255,192605.2412900256,835414.5578286948,629440.3083106601,0.19045614526982949,1107105.272388785,1474439.6813432146,94802400.0,67.88543580230697,133.64090348349433,67.88543580230697,-0.086,9.348311280157266e+33,1.8696622560314532e+34,2.0025007125869984e-27,False,3030565.264610183,137906.30589235446,1584235.7852512687,1446329.4793589143,193221164.00012648,167721067.05981767,0.04550514305128919,290505010.0704193,334672622.8058019,94802400.0,0.2661538596066551,0.5518431592198477,0.2661538596066551,-0.086,697006.0769814034,1394012.1539628068,26.857728530965826,True,3881442.1036731116,479778.23110932665,2180610.167391219,1700831.9362818925,459098.5797220751,326422.8534604478,0.12360824103373841,1792340.6242286074,2321071.997986801,94802400.0,42.17345075327091,83.87196512617044,42.17345075327091,-0.086,3.4499058433790716e+31,6.899811686758143e+31,5.426235048103331e-25,False
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.006,0.005,0.003,0.0024,0.0021,0.0013,0.003932518511313177,0.012040533653835318,0.022166200846974522,2506230.8424480455,416603.1425854094,1461416.9925167274,1044813.8499313181,4284567.41023578,3362460.3619744987,0.1662269634262733,5916929.527935696,7563616.4170706235,94802400.0,12.80853361090045,25.59243530695435,12.80853361090045,-0.086,3.2113876016232905e+25,6.422775203246581e+25,5.829255861403159e-19,False,3572058.6880483767,114281.19745063242,1843169.9427495045,1728888.7452988722,45629406.976274446,42735626.00510338,0.031993090660296764,74040463.57524936,79053941.19496702,94802400.0,1.058570121377287,2.2535114886649192,1.058570121377287,-0.086,5578849864505.969,11157699729011.938,3.355530343109123e-06,False,18134280.853885654,2513987.3921287283,10324134.123007191,7810146.730878463,1112151.3066449463,852395.7858593329,0.13863176667356253,7948467.002202613,10502303.888978725,94802400.0,9.470919720320012,18.698405721621903,9.470919720320012,-0.086,1.0378783686559965e+24,2.075756737311993e+24,1.8036795606638874e-17,False
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,1162146.8457427043,215586.48615900555,688866.665950855,473280.1797918494,1231237.114210668,935530.6999563003,0.1855070957244036,1688089.808116257,2241064.8758319532,94802400.0,44.55079294464872,87.80514582676771,44.55079294464872,-0.086,6.925059798632834e+31,1.3850119597265667e+32,2.703225754627528e-25,False,54033487.68313151,2213136.6722932975,28123312.177712403,25910175.505419105,38450311168.71203,34228822028.65792,0.040958612282660546,59286064498.71511,66597898449.07293,94802400.0,0.0013101893744990772,0.002740619153712956,0.0013101893744990772,-0.086,9.662927254021484e-22,1.9325854508042967e-21,1.9373011415572e+28,True,54986414.13617596,6881339.431413356,30933876.783794656,24052537.352381304,1325737.5764483423,1030823.0293877699,0.12514617546020468,24118713.51132656,31018985.690054588,94802400.0,3.1384180032540945,6.257061955740041,3.1384180032540945,-0.086,2.574378910842551e+18,5.148757821685102e+18,7.271656833870372e-12,False
4,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.005,0.005,0.009,0.005,0.0033,0.0027,0.0039,0.005500528313313139,0.036195996724397446,0.021575807622770702,555250.8117858132,108474.16546203104,331862.4886239221,223388.32316189108,970232.5338911184,725010.8031478676,0.19536066073123495,1275470.2415064138,1712946.648561479,94802400.0,58.82193697302095,115.44574023343912,58.82193697302095,-0.086,1.802324694177481e+33,3.604649388354962e+33,1.0386585758091254e-26,False,1337278.553332726,79991.59364973944,708635.0734912327,628643.4798414933,40803630.4268813,34670242.4804737,0.0598167026984668,60053911.892476045,70677513.62143353,94802400.0,1.282389467661838,2.6389982258955222,1.282389467661838,-0.086,63656826751589.35,127313653503178.7,2.940768642623646e-07,False,6743734.92163172,1119973.028135803,3931853.9748837613,2811880.9467479587,530800.2866093077,379603.9278109743,0.16607607522402637,2887727.8065483863,4037910.6617906746,94802400.0,25.75954855217209,49.81490177074454,25.75954855217209,-0.086,1.3466431198051472e+29,2.6932862396102943e+29,1.3901233166147758e-22,False
5,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.009,0.001,0.006,0.006,0.0033,0.0013,0.0021,0.002006658741270399,0.028913263307670637,0.0220474235119276,453611.40103212313,88000.4584203022,270805.92972621263,182805.47130591047,874631.7330232229,663338.3753458677,0.19399966186932396,1163387.8291261524,1538921.0040832171,94802400.0,64.69190449604982,127.66860536449651,64.69190449604982,-0.086,5.251933831359962e+33,1.0503867662719925e+34,3.564401342648399e-27,False,10774218.416637784,451870.6888569877,5613044.552747386,5161173.863890398,15495613496.372309,13690420412.46184,0.041939997072938405,23712504293.042755,26839190457.11208,94802400.0,0.0032712531095822708,0.006824697009766291,0.0032712531095822708,-0.086,4.099466203838276e-17,8.198932407676551e-17,4.5664481835397774e+23,True,12051744.838014787,1934157.2625222506,6992951.050268519,5058793.787746268,2272709.0913372687,1644107.9810175372,0.1604877375449689,5805227.622296728,8024773.157728061,94802400.0,12.845303396427937,24.9457686581115,12.845303396427937,-0.086,4.008100323241079e+25,8.016200646482159e+25,4.670541775476918e-19,False
6,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.005,0.003,0.005,0.008,0.0014,0.0033,0.0038,0.0048093246642268595,0.019745914426950215,0.021609432088942074,1258077.1476007039,258804.3838787821,758440.765739743,499636.38186096086,489743.3541048341,332898.34445067606,0.20571423968104935,762955.0689871027,1137883.1459361047,94802400.0,96.11954594405839,181.49887628071374,96.11954594405839,-0.086,7.09330992090831e+35,1.418661984181662e+36,2.6391064550585536e-29,False,3410488.159126991,73265.67095229476,1741876.915039643,1668611.244087348,191346796.86495084,175774033.66764933,0.021482458678598416,304454129.5480678,331426951.44875807,94802400.0,0.25656522755537886,0.5425542767511935,0.25656522755537886,-0.086,404014.1130963127,808028.2261926254,46.3350150234414,True,26334052.104076073,6553361.652533955,16443706.878305014,9890345.225771058,1918432.4691355845,1153873.6096732898,0.24885504238520148,10090252.801899157,16776073.5965099,94802400.0,7.083776276767727,12.841353703661914,7.083776276767727,-0.086,6.475572738724927e+22,1.2951145477449855e+23,2.8908639830499473e-16,False
7,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.006,0.007,0.006,0.008,0.0024,0.0039,0.003,0.013474691701993792,0.023789805752722645,0.02184698675903592,674153.6430045671,168786.41046803608,421470.0267363016,252683.61626826553,512094.01023996645,343015.4932574263,0.2503678682440831,645622.0998187055,982017.2144153336,94802400.0,113.07932936616012,211.96342272081066,113.07932936616012,-0.086,4.9443753540715166e+36,9.888750708143033e+36,3.786120320453573e-30,False,778601.8611478537,28358.032074586496,403479.9466112201,375121.9145366336,25280038.090136833,24171516.368695617,0.03642173682038169,41867974.95863785,43788169.33354973,94802400.0,1.8786650622833683,4.027732077492851,1.8786650622833683,-0.086,4221485445108363.5,8442970890216727.0,4.434458022753995e-09,False,12122171.867113946,3277145.0518034566,7699658.459458701,4422513.407655245,659970.72509646,379072.5777990209,0.270343061270561,4470985.674167162,7784049.361756834,94802400.0,15.80349394110113,28.15169430268283,15.80349394110113,-0.086,8.350817396803064e+26,1.6701634793606128e+27,2.2416967238640088e-20,False
8,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.009,0.008,0.007,0.005,0.0034,0.0024,0.0011,0.023296331140733425,0.017413583269735567,0.022187161553159272,1026286.8712899964,249747.37912151916,638017.1252057578,388269.74608423864,580943.5358817654,398297.47039115604,0.24335045698051067,791628.7137820991,1191449.548954652,94802400.0,92.44646117978462,173.97195384708724,92.44646117978462,-0.086,4.6189144226191384e+35,9.237828845238277e+35,4.052900375968623e-29,False,315021.1206067298,19378.47666771042,167199.7986372201,147821.3219695097,9097537.351213396,8793443.790216468,0.06151484900563977,15231408.740438899,15758283.959328594,94802400.0,5.173556047912918,11.132733820319181,5.173556047912918,-0.086,5.392203345014907e+20,1.0784406690029814e+21,3.4716791638257936e-14,False,46251236.63071933,9568569.162842114,27909902.89678072,18341333.733938605,1535044.6593229398,1008773.3553666235,0.20688245028429844,18424369.573670823,28036258.060341727,94802400.0,3.962105584874946,7.425642260317529,3.962105584874946,-0.086,5.897798601634989e+19,1.1795597203269978e+20,3.174065658127159e-13,False
9,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.008,0.001,0.009,0.006,0.0028,0.0028,0.0011,0.00258563617989824,0.0268955350056425,0.022187161553159272,299200.33301387785,75916.2947954416,187558.31390465974,111642.01910921812,167695.81895988484,111101.65282724213,0.253730649397106,222473.9809811883,345751.0436783066,94802400.0,326.5249388700114,607.1538299580153,326.5249388700114,-0.086,1.1866816979446595e+42,2.373363395889319e+42,1.5775081078964278e-35,False,12247130.501304569,350071.47784438776,6298600.989574478,5948529.511730091,1638551939.4700186,1529336427.406841,0.028583959141049244,2648895073.3435845,2838062199.3531613,94802400.0,0.029570813102487447,0.06287637808238998,0.029570813102487447,-0.086,4.802631350397228e-06,9.605262700794456e-06,3897863199192.18,True,56261818.20508794,11262567.841692619,33762193.02339028,22499625.18169766,1547433.8469053877,1031232.8208278094,0.20018136990592508,22570411.08861646,33868412.01297026,94802400.0,3.2446525060156617,6.1128135039070415,3.2446525060156617,-0.086,5.568353106756474e+18,1.1136706213512948e+19,3.3618557661664287e-12,False
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.007,0.005,0.004,0.002,0.0029,0.0017,0.0013,0.011289927510475164,0.003972079992848717,0.022166200846974522,6023350.9596575815,1376595.8704340325,3699973.415045807,2323377.5446117744,3490254.929092981,2604525.3377135284,0.22854319458620587,5074321.621574804,7087696.50043082,94802400.0,14.662850296241947,28.367002625638786,14.662850296241947,-0.086,1.916408773147947e+26,3.832817546295894e+26,9.768270873259467e-20,False,556089.1836793527,23167.454315613875,289628.3189974833,266460.86468186945,25700957.074319113,24367527.419973116,0.04166140071692617,42206636.67104774,44516305.64378794,94802400.0,1.860905918575153,3.9781860577046047,1.860905918575153,-0.086,3843985056740076.0,7687970113480152.0,4.869946090757089e-09,False,24477687.284523677,5483833.542174686,14980760.413349181,9496926.871174496,1273364.6351346804,807238.7840498321,0.2240339734073614,9599298.06599727,15142244.055760195,94802400.0,7.541122300772194,13.944159111109345,7.541122300772194,-0.086,1.1565609813370597e+23,2.3131219626741194e+23,1.6185916957321578e-16,False
